,NAMA_PERUSAHAAN,NIB,NPWP,ALAMAT,NO_TELP,EMAIL,NO_AKTA,NO_SK,JENIS_PERUSAHAAN,STATUS_NIB
144,CV BONANZA,2009210015423.0,21149034201000.0,JL. KAMANG NOMOR 4 002/003  KOTA PADANG SUMATERA BARAT,0895617214150,,,,Persekutuan Komanditer (CV / Commanditaire Vennootschap),Aktif
151,CV BONANZA,9120303242519.0,723839825623000.0,BALEARJOSARI LAND KAVLING 24 001/006  KOTA MALANG JAWA TIMUR,082112481235,,,,Persekutuan Komanditer (CV / Commanditaire Vennootschap),Aktif
228,CV BONANZA,297010040191.0,724735691518000.0,INDUSTRI XVI LIK NO. 657-658 000/000 GENUK KOTA SEMARANG JAWA TENGAH,,,,,Persekutuan Komanditer (CV / Commanditaire Vennootschap),Aktif
232,BONANZA,8120114251103.0,241571694503000.0,SUMUR GUNUNG RT.3 RW.5  GUNUNGPATI KOTA SEMARANG JAWA TENGAH,08112991059,,,,Perorangan,Aktif
633,PT BUKIT HIJAU PANGKALAN BARU,1306230029723.0,404500951304000.0,"JALAN PULAU BANGKA, BUKITINTAN, KOTA PANGKAL PINANG, KEPULAUAN BANGKA BELITUNG",08111552728,ptbukithijaupangkalanbaru@gmail.com,1.0,,Perseroan Terbatas (PT),
57,PT BUKIT TIMAH,8120301830925.0,23911977304000.0,"JL. MALAHAYATI (KETAPANG), BUKITINTAN, KOTA PANGKAL PINANG, KEPULAUAN BANGKA BELITUNG",07174261459,bukit.tmh@gmail.com,191.0,,,
35,PT BUMI HERO PERKASA,8120118100886.0,25721028305000.0,"JL.PERMAI 1, KELEKAK USANG, DESA PERAWAS, TANJUNG PANDAN, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",02157935928,taxbhp@gmail.com,18.0,,Perseroan Terbatas (PT),
722,PT BUMI ORE SEJAHTERA,712210045662.0,436039218043000.0,"KIRANA TWO OFFICE TOWER LT. 8 UNIT E, JL. BOULEVARD TIMUR NO. 88, KELAPA GADING, KOTA ADM. JAKARTA UTARA, DKI JAKARTA",02129385781,bos.legal@ever-group.co.id,5.0,,Perseroan Terbatas (PT),
298,PT BUMI SENTOSA PROGRESS,260000902758.0,12768289305000.0,"JL.AIR SERUK KM 10, TANJUNG PANDAN KOTA, SIJUK, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",081273724481,pt.bumisentosa68@yahoo.com,5.0,,,
646,PT CAHAYA CELESTA NUSANTARA,2106230181109.0,393759097305000.0,"JALAN PELATARAN AIR KETEKOK, TANJUNG PANDAN, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",082210197869,cahayacelesta347@gmail.com,6.0,,,
1123,PT CAHAYA INTAN,1205000740185.0,29301447022000.0,"GEDUNG MID PLAZA 2 LT. 6, JL. JENDERAL SUDIRMAN KAVLING 10-11, TANAH ABANG, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",0215732988,pt.itci.kartika.utama@gmail.com,9.0,,,
750,PT CAHAYA MANDIRI GEMILANG,1608240010368.0,729472761305000.0,"JL. MADURA, TANJUNG PANDAN, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",081933358885,cahayamandirigemilang@yahoo.com,5.0,,,
198,PT CAHAYA SILICA ABADI,2401220079783.0,539086595304000.0,"JL ALEXANDER RUKO F 18 KOMPLEK CITRALAND BOTANICAL CITY 002/001  KOTA PANGKAL PINANG KEPULAUAN BANGKA BELITUNG",082181553669,,,,Perseroan Terbatas (PT),Aktif
230,CV CAHAYA SURYA MENTARI,2701220043218.0,860475557029000.0,"IKA BUILDING, KOMPLEK DUTA MERLIN BLOK B31-B32, JL. GAJAH MADA NO. 3-5 017/008 GAMBIR KOTA ADM. JAKARTA PUSAT DKI JAKARTA",02158351606,,,,Persekutuan Komanditer (CV / Commanditaire Vennootschap),Aktif
449,PT CAHAYA SURYA TIMAH INDOTAMA,8120115240269.0,741318059418000.0,"JL. PASAR KEMIS - CIKUPA, KP. PASIR GADUNG, SINDANG JAYA, KAB. TANGERANG, BANTEN",6282111776387,cahayasuryatimahindotamapt@gmail.com,18.0,,Perseroan Terbatas (PT),
111,PT CAHAYA SURYA TIMAH INDOTAMA,8120115240269.0,741318059418000.0,JL. PASAR KEMIS – CIKUPA KP.PASIRGADUNG 003/001 SINDANG JAYA KAB. TANGERANG BANTEN,082282421239,,,,Perseroan Terbatas (PT),Aktif
895,PT CAHAYA TIMAH BELITUNG JAYA,8120118280065.0,741318331418000.0,"JL. PASAR KEMIS – CIKUPA KP.PASIRGADUNG, SINDANG JAYA, KAB. TANGERANG, BANTEN",082282421239,cahayatimahbelitungjayapt@gmail.com,51.0,,,
901,PT CAHAYA TIMAH GLOBAL MULIA,8120115200669.0,741317663418000.0,"PERUMNAS AIR, TANJUNG PANDAN, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",082111776387,cahayatimahglobalmuliapt@gmail.com,29.0,,,
726,PT CAIRO CAOLIN RESOURCES,1509230036636.0,503179046047000.0,"JALAN PANTAI INDAH UTARA II, METRO BROADWAY THE ARCADE BLOK 3 NO. TL, PENJARINGAN, KOTA ADM. JAKARTA UTARA, DKI JAKARTA",0817732818,pt.cairocaolinresources@gmail.com,9.0,,,
1132,PT CAKRA PRATAMA ABADI,9120106591204.0,910263128623000.0,"JALAN RAYA LANGSEP NO. 2, TANJUNG PANDAN, KOTA MALANG, JAWA TIMUR",0341425164,cakrapratamaabadi@gmail.com,92.0,,,
906,PT CANDRA LESTARI SEJAHTERA,812210042085.0,861880441036000.0,"SOHO CAPITAL @ PODOMORO CITY LT. 37, NO.09, GROGOL PETAMBURAN, KOTA ADM. JAKARTA BARAT, DKI JAKARTA",08127171107,info.ptcandralestarisejahtera@gmail.com,140.0,,,
585,PT CELESTA SILICA NUSANTARA,1304230065495.0,406106203305000.0,"JL. JENDRAL SUDIRMAN, TANJUNG PANDAN, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",081278138503,celestasilicanusantara@gmail.com,9.0,,,
293,PT CINTA MAPUR INDONESIA,212010271755.0,730621026304000.0,"PERUMAHAN GRAHA PURI CLUSTER ANJANI A-2 NOMOR 1, GABEK, KOTA PANGKAL PINANG, KEPULAUAN BANGKA BELITUNG",02165310268,cmi.persada115@gmail.com,87.0,,Perseroan Terbatas (PT),
172,PT CIPTA MINERAL BUMI SELARAS,107220015994.0,26341842304000.0,"RUKO CITRALAND BOTANICAL CITY BLOK F11 JL. ALEXANDER, KETAPANG, RT. 002 RW. 001, BUKITINTAN, KOTA PANGKAL PINANG, KEPULAUAN BANGKA BELITUNG",02127889019,ciptamineralbs@gmail.com,63.0,,Perseroan Terbatas (PT),
701,PT CUAN BERSAMA SILICA,511230036468.0,399567882305000.0,"JALAN DEPATI GEGEDEK NOMOR 10, TANJUNG PANDAN, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",087876211569,cuanbersamasilica@gmail.com,2.0,,Perseroan Terbatas (PT),
912,PT DELI COAL,9120101790797.0,313534075013000.0,"GRAND ITC PERMATA HIJAU LT.8,SUITE B NO.3A,JL.LETJEN.SOEPONO (ARTERI PERMATA HIJAU), KEBAYORAN LAMA, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",08998951039,delicoal123@gmail.com,6.0,,,
1135,PT DELI INDONESIA RAYA,277011082062.0,754137909013000.0,"GRAND ITC PERMATA HIJAU LANTAI 8 SUITE B NOMOR 3 A, JALAN LETJEN SOEPENO, ARTERI PERMATA HIJAU, TANJUNG PANDAN, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",021-536644355,deliindonesiaraya@gmail.com,61.0,,,
916,PT DELI PRATAMA MINERAL,1268000722725.0,430252734013000.0,"GRAND ITC PERMATA HIJAU LANTAI 8 SUITE B.1, JALAN LETJEN SOEPENO, ARTERI PERMATA HIJAU, KEBAYORAN LAMA, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",08998951039,delipratamamineral.pt@yahoo.com,5.0,,,
1142,PT DELI PRATAMA NUSANTARA,262010232136.0,730622479013000.0,"GRAND ITC PERMATA HIJAU LT. 8 SUITE B NO. 3A, JALAN LETJEN SOEPENO (ARTERI PERMATA HIJAU), KEBAYORAN LAMA, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",021-536644355,dutapratamasintra688@gmail.com,7.0,,,
1286,PT DELI SAHABAT SEJAHTERA,245010040088.0,820554970439000.0,"ITC PERMATA HIJAU LANTAI 8 SUITE B NOMOR 3.A JALAN LETJEN SOEPENO, KEBAYORAN LAMA, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",02153664355,dsahabatsejahtera@gmail.com,6.0,,,
193,CV DHIKA YOGATAMA,1249000332754.0,312975154017000.0,"RUKO PINANGSIA BLOK L NOMOR 17, LIPPO KARAWACI / CIBODAS KOTA TANGERANG BANTEN",081585627008,,,,Persekutuan Komanditer (CV / Commanditaire Vennootschap),Aktif
697,PT DIANTAMA USAHA MANDIRI,211230097417.0,509336632032000.0,"HAYAM WURUK PLAZA TOWER LT. 8, JL. HAYAM WURUK NO. 108, TAMAN SARI, KOTA ADM. JAKARTA BARAT, DKI JAKARTA",081388881406,diantamausahamandiri@gmail.com,13.0,,,
205,PT DUA SATU UTAMA,220901990441.0,955677174305000.0,JL. RAYA BADAU KM.16 001/001 BADAU KAB. BELITUNG KEPULAUAN BANGKA BELITUNG,087889417973,,,,Perseroan Terbatas (PT),Aktif
229,CV DUA SATU UTAMA,220007622367.0,951628106807000.0,JL. TUN ABDUL RAZAK PERUMAHAN BUMI AROEPALA BLOK A.36  SOMBA OPU KAB. GOWA SULAWESI SELATAN,,,,,Persekutuan Komanditer (CV / Commanditaire Vennootschap),Aktif
920,PT DUAPILAR SELARAS MAJU,2310240264607.0,127116168044000.0,"SPRINGHILL OFFICE TOWER, LT. 9 UNIT B, JL. BENYAMIN SUEB BLOK D6, PADEMANGAN, KOTA ADM. JAKARTA UTARA, DKI JAKARTA",02126051580,duapilarselarasmaju@gmail.com,398.0,,,
1414,PT DUTA PRATAMA SINTRA,9120017090572.0,30372486012000.0,"GD. ARTHA GRAHA LT. 23, JL. JEND. SUDIRMAN KAV. 52-53, KEBAYORAN BARU, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",(021) 515 0305,dutapratamasintra08@gmail.com,38.0,,,
173,PT DUTA WATU GEOTEK,1710220037981.0,613618586305000.0,JALAN DEPATI GEGEDEK 001/001 TANJUNG PANDAN KAB. BELITUNG KEPULAUAN BANGKA BELITUNG,0813133867810,,,,Perseroan Terbatas (PT),Aktif
922,PT DWIJAYA MAJU BERSAMA,2310240256959.0,129036646044000.0,"SPRINGHILL OFFICE TOWER. LT. 9 UNIT B, JL. BENYAMIN SUEB BLOK D6, PADEMANGAN, KOTA ADM. JAKARTA UTARA, DKI JAKARTA",02126051580,dwijayamajubersama@gmail.com,397.0,,,
18,CV ELYSKA INDO PLANTATION,9120104781778.0,25722240305000.0,"JL. JENDERAL SUDIRMAN, TANJUNG PANDAN, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",081271078369,elyska.ip@gmail.com,11.0,,Persekutuan Komanditer (CV / Commanditaire Vennootschap),
2,CV ERA ANUGRAH JAYA,1203250073821.0,1000000000563838.0,PERGUDANGAN RITZ GATE BLOK BC NOMOR 33 / TAMAN KAB. SIDOARJO JAWA TIMUR,087851948222,,,,Persekutuan Komanditer (CV / Commanditaire Vennootschap),Aktif
182,PT ERA ANUGRAH JAYA,1284000640384.0,425221405304000.0,PERUMAHAN TANJUNG BUNGA CLUSTER ANGGREK F234 007/002 BUKITINTAN KOTA PANGKAL PINANG KEPULAUAN BANGKA BELITUNG,08126036488,,,,Perseroan Terbatas (PT),Aktif
223,PT ERA BARU KWARSA,1212220058911.0,620311738416000.0,JALAN DAAN MOGOT KM 21 PERGUDANGAN 3 MULTI GUNA BLOK D NOMOR 1-2 000/000 BATUCEPER KOTA TANGERANG BANTEN,081927222589,,,,Perseroan Terbatas (PT),Aktif
180,PT FACIFIC DIPTAKARYA,220105121233.0,12769329305000.0,"JL. JEND. SUDIRMAN NO. 30, TANJUNG PANDAN, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",087884291827,ptfacificdiptakarya01@gmail.com,3.0,,,
251,PT FENG LI MINERAL ABADI,9120504802912.0,27917392044000.0,"JL DARMO PERMAI SELATAN, RUKO DARMO VILLA A12, DUKUH PAKIS, KOTA SURABAYA, JAWA TIMUR",085161338338,ptfenglimineralabadi@gmail.com,59.0,,Perseroan Terbatas (PT),
924,PT GARPATI DAYA INTEGRA,2212220043263.0,620808147013000.0,"JALAN BARU NOMOR 3, KEBAYORAN LAMA, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",02127095210,garpatidaya.integra@gmail.com,71.0,,,
186,PT GARUDA ARTHA RESOURCES,9120003161979.0,25902271048000.0,"RUKO MITRA SUNTER BLOK B NO.5, JL. MITRA SUNTER BOULEVARD / TANJUNG PRIOK KOTA ADM. JAKARTA UTARA DKI JAKARTA",081281881727,,,,Perseroan Terbatas (PT),Aktif
480,PT GARUDA BELITONG BEREHUN,220209260753.0,818204695305000.0,"JLN. PASIR PUTIH RT.012 RW.005, TANJUNG PANDAN, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",082298801323,belitongberehun@gmail.com,66.0,,,
208,PT GARUDA PANCA ARTHA,212210023917.0,533858361022000.0,JL. KADADIUT GG. SAPIL 1 NO . 19 020/006 ARUT SELATAN KAB. KOTAWARINGIN BARAT KALIMANTAN TENGAH,02129912864,,,,Perseroan Terbatas (PT),Aktif
823,PT GASPAR ARTHA AGUNG,1908250050233.0,1000000004826717.0,"JL RUSTAM EFENDI BLOK A 1, PANGKAL BALAM, KOTA PANGKAL PINANG, KEPULAUAN BANGKA BELITUNG",081216446222,agunggasparartha@gmail.com,42.0,,,
224,PT GELORA ABADI PERSADA,2002230061246.0,629096645044000.0,"KOBEXINDO TOWER, JL. PASIR PUTIH RAYA BLOK E-5-D 000/000  KOTA ADM. JAKARTA UTARA DKI JAKARTA",081806777222,,,,Perseroan Terbatas (PT),Aktif
359,PT GUNUNG LEBAK,220105462818.0,11034204315000.0,"JALAN KENANGAN NOMOR 33, BELINYU, KAB. BANGKA, KEPULAUAN BANGKA BELITUNG",0812 8194 285,gununglebak@gmail.com,5.0,,,
928,PT HAKIMPERKASA INTERNIAGA,501230044069.0,16409708021000.0,"JL. SAMANHUDI NOMOR 10, ASEAN TOWER LANTAI 6, SAWAH BESAR, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",081318037779,pthpi.pusat@gmail.com,13.0,,,
933,PT HAMPARAN INDONESIA BERJAYA,1212220021827.0,620243758416000.0,"JALAN DAAN MOGOT KM 21 PERGUDANGAN 3 MULTI GUNA BLOK D NOMOR 1-2, BATUCEPER, KOTA TANGERANG, BANTEN",08127600736,hamparanindonesiaberjaya@gmail.com,13.0,,,
650,PT HAMPARAN PASIR JAYA,601230051338.0,610923245416000.0,"JALAN DAAN MOGOT KM 21 PERGUDANGAN 3 MULTI GUNA BLOK D NO 1-2, BATUCEPER, KOTA TANGERANG, BANTEN",081319833750,hamparanpasirjaya@gmail.com,20.0,,Perseroan Terbatas (PT),
196,CV HARAPAN MUDA,8120015052971.0,12773958308000.0,JL. JENDERAL SUDIRMAN BLOK II F N0. 173 001/000 SUNGAILIAT KAB. BANGKA KEPULAUAN BANGKA BELITUNG,082186904010,,,,Persekutuan Komanditer (CV / Commanditaire Vennootschap),Aktif
243,PT HARAPAN MUDA PERKASA,8120002990877.0,855344222315000.0,"JL. PELABUHAN PERIKANAN, KAWASAN INDUSTRI JELITIK, SUNGAILIAT, KAB. BANGKA, KEPULAUAN BANGKA BELITUNG",081273466107,harapanmudaperkasa@yahoo.com,8.0,,,
31,CV HARAPAN MUDA PERKASA,1602220049453.0,767526718315000.0,JALAN PELABUHAN PERIKANAN KAWASAN INDUSTRI JELITIK  / SUNGAILIAT KAB. BANGKA KEPULAUAN BANGKA BELITUNG,082186904010,,,,Persekutuan Komanditer (CV / Commanditaire Vennootschap),Aktif
436,PT HASIL ALAM SUKSES PRATAMA,1308210017742.0,210485272304000.0,"JALAN JENDERAL SUDIRMAN NOMOR : 50, GABEK, KOTA PANGKAL PINANG, KEPULAUAN BANGKA BELITUNG",07179109070,pt.hasp02@gmail.com,7.0,,,
296,PT HERO CERAMAS,255000912359.0,25721127305000.0,"JL.JEND. SUDIRMAN, RT 10, RW 04, PK. LALANG, TANJUNG PANDAN, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",081273724481,ptheroceramas@gmail.com,41.0,,,
325,PT HERO PROGRES INTERNATIONAL,8120107820039.0,25721200305000.0,"JL.JEND. SUDIRMAN RT.10/04, TANJUNG PANDAN, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",082269570658,pt.heroprogresinternational@gmail.com,20.0,,Perseroan Terbatas (PT),
475,PT HORIZON ENERGI NUSANTARA,411210045274.0,531056166416000.0,"THE PROMINENCE OFFICE TOWER LEVEL 28 UNIT C, JALAN JALUR SUTERA BARAT NOMOR 15, PINANG, KOTA TANGERANG, BANTEN",08111737379,pt.horizon.energi.nusantara@gmail.com,8.0,,Perseroan Terbatas (PT),
335,PT HPM BELTIM,2012210003162.0,25720897305000.0,"JALAN RAYA PETIKAN, DUSUN PETIKAN, BADAU, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",081272911566,cvhpm.general@gmail.com,3.0,,,
240,CV IKHWAH,302220061538.0,20926713305000.0,"JALAN RAYA PETIKAN, DUSUN PETIKAN, BUKITINTAN, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",081272911566,cv.ik.general@gmail.com,2.0,,Persekutuan Komanditer (CV / Commanditaire Vennootschap),
177,PT INDAHSANA LESTARI JAYA,299010101955.0,964901680404000.0,"JL. DESTARATA XIII NO. 07, BOGOR 16153 02/16  KOTA BOGOR JAWA BARAT",0212652758,,,,Perseroan Terbatas (PT),Aktif
576,PT INDO PERSADA SILIKA,1210220075693.0,613040567033000.0,"JL. PROF DR LATUMETEN NO. 33 SEASON CITY UNIT RUKO SH/A/19-20, TAMBORA, KOTA ADM. JAKARTA BARAT, DKI JAKARTA",081270008555,indopersada.silika@gmail.com,127.0,,Perseroan Terbatas (PT),
9,PT INDO TIMAH CAHAYA MULIA,8120116230563.0,741317911418000.0,"PERUMNAS AIR, TANJUNG PANDAN, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",082111776387,indotimahcahayamuliapt@gmail.com,28.0,,Perseroan Terbatas (PT),
466,PT INDO TIMAH SUKSES SAMPOERNA,8120013280362.0,741317853418000.0,"DUSUN GUNUNG TIONG, BADAU, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",082111776387,indotimahsuksessampoernapt@gmail.com,27.0,,Perseroan Terbatas (PT),
943,PT INDRA PUTRA MEGA,905220011037.0,18608083612000.0,"JL. MAYJEN. SUNGKONO NO. 90, KEBOMAS, KAB. GRESIK, JAWA TIMUR",082229359236,legal.zenny@indoprima-group.co.id,100.0,,,
946,PT INDRA PUTRA MEGA,905220012571.0,18608083612000.0,"JL. MAYJEN. SUNGKONO NOMOR 90, PRAMBANGAN, KEBOMAS, KEBOMAS, KAB. GRESIK, JAWA TIMUR",0313982483,legal.zenny@indoprima-group.co.id,144.0,,,
15,PT INDUSTRI MINERAL BELITUNG,202220048974.0,631639895305000.0,"JALAN KAWASAN INDUSTRI PT. MPL DUSUN SUGE, BADAU, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",087896411211,pt.industrimineralbelitung@gmail.com,2.0,,Perseroan Terbatas (PT),
795,PT INTAN ALAM ABADI,9120402812221.0,925984270305000.0,"JL. KELAPA GADING NOMOR 8, TANJUNG PANDAN, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",0818713888,intanalamabadi2@gmail.com,25.0,,Perseroan Terbatas (PT),
706,PT INTI MATERIALS UTAMA,2311230122284.0,992198655305000.0,"JL. JEND. SUDIRMAN, TANJUNG PANDAN, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",02165300610,intimaterialsutama@gmail.com,17.0,,Perseroan Terbatas (PT),
189,CV IRPAU HERO,9120216190787.0,14958078305000.0,"JL. JENDERAL SUDIRMAN 30, TANJUNG PANDAN, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",0811171789,irpauhero.cv@gmail.com,2.0,,Persekutuan Komanditer (CV / Commanditaire Vennootschap),
253,PT IRPAU HERO PROGRES,220004441045.0,945013365305000.0,"JL.JEND.SUDIRMAN NO.38, TANJUNG PANDAN, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",08117878780,pt.irpauheroprogres@gmail.com,28.0,,Perseroan Terbatas (PT),
200,PT JABEL TRI BERSAUDARA,9120205331385.0,14957948029000.0,"KOMPLEK DUTA MERLIN BLOK E NOMOR 14-15, JALAN GAJAH MADA NOMOR 3-5, KELURAHAN PETOJO UTARA, KECAMATAN GAMBIR, KOTA ADMINISTRASI JAKARTA PUSAT, PROVINSI DAERAH KHUSUS IBUKOTA JAKARTA. /  KOTA ADM. JAKARTA PUSAT DKI JAKARTA",0216337739,,,,Perseroan Terbatas (PT),Aktif
228,PT JELAJAH MARINDO PERSADA,1226000222464.0,802319335304000.0,"JALAN BUKIT BARU NOMOR : 140, GERUNGGANG, KOTA PANGKAL PINANG, KEPULAUAN BANGKA BELITUNG",0212526999,legaljelajahmarindopersada@gmail.com,20.0,,Perseroan Terbatas (PT),
76,PT JELAJAH MARINDO PERSADA,1226000222464.0,802319335304000.0,JALAN BUKIT BARU NOMOR : 140 / GERUNGGANG KOTA PANGKAL PINANG KEPULAUAN BANGKA BELITUNG,087821032021,,,,Perseroan Terbatas (PT),Aktif
261,PT KAOLIN BELITUNG UTAMA,9120106180885.0,11302569305000.0,"GEDUNG ASEAN TOWER LANTAI 5, JALAN KIAI HAJI SAMANHUDI NOMOR 10, SAWAH BESAR, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",0213802865,kbu.pusat2@gmail.com,10.0,,,
605,PT KAOLINCLAY MINERAL BELITUNG,1007230286965.0,395673478305000.0,"DUSUN BADAU 3, BADAU, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",08111866379,kaolimtu@gmail.com,7.0,,Perseroan Terbatas (PT),
427,PT KAOLINDO BANGKA SEJAHTRA,220004532498.0,755658234315000.0,"JL. BATIN TIKAL NO. 1, BELINYU, KAB. BANGKA, KEPULAUAN BANGKA BELITUNG",085219118787,info.kaolindobangkasejahtra@gmail.com,4.0,,Perseroan Terbatas (PT),
209,CV KAOLINDO INVESTAMA SENTOSA,9120000840438.0,924192453305000.0,JL. KELAPA GADING NO. 8 019/008 TANJUNG PANDAN KAB. BELITUNG KEPULAUAN BANGKA BELITUNG,0818713888,,,,Persekutuan Komanditer (CV / Commanditaire Vennootschap),Aktif
957,PT KAOLINDO SAKTI PERKASA,9120108110382.0,12768750305000.0,"GEDUNG ASEAN TOWER LANTAI 5, JALAN KIAI HAJI SAMANHUDI NOMOR 10, SAWAH BESAR, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",0213802865,ksp.pusat2@gmail.com,11.0,,,
166,PT KARUNIA ALAM BERSAMA,1502230009144.0,612508812032000.0,JALAN KEBON JERUK XIV RUKO NOMOR 8 014/005 TAMAN SARI KOTA ADM. JAKARTA BARAT DKI JAKARTA,0216248188,,,,Perseroan Terbatas (PT),Aktif
231,PT KARUNIA ANUGERAH ALAM,9120307441901.0,832828743304000.0,"JALAN TPA LINGKUNGAN KENANGA PERMAI, SUNGAILIAT, KAB. BANGKA, KEPULAUAN BANGKA BELITUNG",0821109799,bokaruniaanugerahalam@gmail.com,4.0,,Perseroan Terbatas (PT),
409,CV KARUNIA SEMESTA BERSAMA,2701220028449.0,902840388045000.0,"JL. INDRAMAYU BLOK II A8 NOMOR 91, CILINCING, KOTA ADM. JAKARTA UTARA, DKI JAKARTA",02158351606,ptkaruniasemestabersama@gmail.com,1.0,,Persekutuan Komanditer (CV / Commanditaire Vennootschap),
207,PT KARYA CIPTA LAHANINDO,9120207822723.0,21889308086000.0,JL. PURI KENCANA BLOK K-6 NO. 3-O / KEMBANGAN KOTA ADM. JAKARTA BARAT DKI JAKARTA,02158351606,,,,Perseroan Terbatas (PT),Aktif
175,PT KARYA EMAS MULTISANI,9120206511939.0,24758880043000.0,"RUKAN FRENCH WALK BLOK L-7, KELAPA GADING SQUARE, KELAPA GADING, KOTA ADM. JAKARTA UTARA, DKI JAKARTA",021-45867801,adm.karyaemulti@gmail.com,114.0,,Perseroan Terbatas (PT),
747,PT KARYA INVESTAMA MANDIRI,1709240122231.0,701671851305000.0,"JL. MADURA, TANJUNG PANDAN, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",071921388,karyainvestamamandiri@yahoo.com,6.0,,Perseroan Terbatas (PT),
300,PT KARYA MELATI BELITONG,9120003390612.0,904062254305000.0,"DUSUN TANJUNG BELANTU, SIMPANG PESAK, KAB. BELITUNG TIMUR, KEPULAUAN BANGKA BELITUNG",0811699569,karyamelatibelitong@gmail.com,13.0,,Perseroan Terbatas (PT),
366,PT KARYA PUTERA BANGKA BELITUNG,9120103491007.0,800523813305000.0,"JALAN RAYA MANGGAR GANTUNG DUSUN PADANG NOMOR 19, MANGGAR, KAB. BELITUNG TIMUR, KEPULAUAN BANGKA BELITUNG",0818111337,kpbabel.belitung@gmail.com,4.0,,Perseroan Terbatas (PT),
1178,PT KEIKIRA BERSAMA NUSANTARA,809230046169.0,802444737607000.0,"JL. EMBONG MALANG NOMOR 1,3,5 (SUPERBLOCK TUNJUNGAN CITY, TOWER PAKUWON CENTER, NOMOR OF 12-11 DAN OF 12-12, SURABAYA, SAWAH BESAR, KOTA SURABAYA, JAWA TIMUR",0213802865,ptkeikirabersamanusantara@gmail.com,38.0,,,
538,PT KEMILAU KUARSA PERDANA,1402230081128.0,627947310305000.0,"DUSUN SEKIP, MANGGAR, KAB. BELITUNG TIMUR, KEPULAUAN BANGKA BELITUNG",081278679967,kemilaukuarsaperdana@gmail.com,9.0,,,
202,PT KENCANA KAOLIN INDUSTRI,9120200370056.0,18002048033000.0,"JL. DESA AIR SELUMAR, RT. 006/III, AIR SELUMAR, SIJUK 006/III SIJUK KAB. BELITUNG KEPULAUAN BANGKA BELITUNG",02159313032,,,,Perseroan Terbatas (PT),Aktif
454,PT KIAN SUKSES MANDIRI,9120108861456.0,20929568305000.0,"JALAN ABDUL RAHMAN DALAM KM 16 RT 001 RW 001 DESA BADAU, BADAU, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",0811717687,ksmkaolin21@gmail.com,131.0,,Perseroan Terbatas (PT),
965,PT KISMA SUKSES MANDIRI,1912230211605.0,995594264014000.0,"JALAN MAMPANG PRAPATAN RAYA NO. 73A, MAMPANG PRAPATAN, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",0218305555,kismasuksesmandiri@gmail.com,49.0,,,
1180,PT KOMPAK SAHABAT BERJAYA,1903240314241.0,71491740085000.0,"RUKO KALIDERES INDAH 3, JL. PETA BARAT NO. 3A BLOK B, KALIDERES, KOTA ADM. JAKARTA BARAT, DKI JAKARTA",0811905956,kompaksahabatberjaya@gmail.com,23.0,,,
629,PT KONG LUNG MINING,507230193595.0,394996128305000.0,"KAWASAN INDUSTRI PT. MITRA PROPINDO LESTARI, MEMBALONG, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",08197528888,kong.lung.mining@gmail.com,12.0,,Perseroan Terbatas (PT),
